formulae,charges
"['C10H14N5O6PS2', 'C10H10N5O6PS2Cu']",[-2]
['C3H3O3'],[-1]
"['C14H27OSR', 'C25H47N2O8PRS', 'C14H27ORS', 'C14H27OX', 'C398H629O143N96P1S3']","[0, -1]"
['C21H26N7O14P2'],"[0, -1]"
['Ni'],[2]
['C11H12NO9P'],[-2]
['C89H145N1O32P2'],[-2]
['C4H2O5'],[-2]
['C18H36O5P'],[-1]
['C18H33O2'],[-1]
['C39H64N7O17P3S'],[-4]
"['C19H31N2O11PRS', 'C8H11O4SR']",[-1]
['C6H11O4'],[-1]
['C29H58N1O8P1'],[0]
"['C37H74N1O8P1', 'C37H74NO8P']",[0]
['C30H58O10P1'],[-1]
['C34H62O10P1'],[-1]
['C38H70O10P1'],[-1]
['C34H65O13P2'],[-3]
['C9H11NO2'],[0]
['C3H5O5P'],[-2]
['C10H13N2O4'],[-1]
['C34H32N4O4'],[-2]
['C34H38N4O4'],[-2]
['C7H5N5O'],[0]
['C7H10N5O'],[1]
"['C15H22N5O15P2', 'C15H21N5O15P2']","[-4, -3]"
['C7H12N2O3'],[0]
['C5H8O14P3'],[-5]
['C12H25N2O7'],[1]
['C3H6NO6P'],"[-2, -1]"
['C8H9NO3'],[0]
"['C8H7NO6P', 'C8H8NO6P']","[-3, -2]"
['C49H76O4'],[0]
['C7H3NO4'],[-2]
['C5H8O11P2'],[-4]
['C5H9O8P'],[-2]
['C5H9O8P'],[-2]
['C14H18N2O4'],[0]
['C5H10O5'],[0]
"['C17H19N4O6', 'C17H20N4O6']","[0, -1]"
['C6H12O5'],[0]
['C6H11O8P'],[-2]
['C7H13O10P'],[-2]
['C6H13O9P'],[-2]
['O4Se'],[-2]
"['H2O3PSe', 'O3PSe']","[-3, -1]"
['C3H7NO3'],[0]
['C12H21O14P'],[-2]
['C4H4O4'],[-2]
['C9H15N2O5'],[-1]
['H8O2S6R'],[0]
['HS2R'],[0]
['C6H10O12P2'],"[-4, -2]"
['C4H4O6'],[-2]
"['C14H25OX', 'C398H627O143N96P1S3', 'C25H45N2O8PRS']","[0, -1]"
['C4H9NO3'],[0]
"['C4H9NO3X', 'C19H30NO18P2R3', 'C4H8NO2R', 'C4H9NO2R']","[1, -2]"
['C10H14N2O5'],[0]
['C3H10N'],[1]
['C3H9NO'],[0]
"['C19H33N2O8PRS', 'C8H13OSR', 'C392H615O143N96P1S3']","[0, -1]"
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
