formulae,charges
['C40H65O7P2'],[-3]
['C6H11O9P'],"[-2, -1]"
['C6H10O10P'],[-3]
['C5H9O8P'],[-2]
['C5H10O5'],[0]
['C7H13O10P'],[-2]
[],[]
"['CH5N2O', 'CH4N2O']",[0]
['C4H5O3'],[-1]
['C6H9OX'],[0]
['C8H13OX'],[0]
"['C19H35N2O9PRS', 'C8H15O2X']",[0]
['C10H17OX'],[0]
['C12H21OX'],[0]
"['C19H33N2O9PRS', 'C8H13O2X']",[0]
"['C18H32O2X', 'C18H33O2X']",[0]
['C33H54N7O17P3S'],[-4]
['C29H44N7O17P3S'],[-4]
['C39H60N7O17P3S'],[-4]
['C39H62N7O17P3S'],[-4]
['C16H23N5O16P2'],[-2]
['C2070H3862O400'],[0]
['C2H7NO4P'],[-1]
['C39H66N7O17P3S'],[-4]
['C39H60N7O17P3S'],[-4]
['C39H62N7O17P3S'],[-4]
['C4740H8024N300O1500P200'],[-200]
['C4040H7524N100O800P100'],[0]
['C4440H7824O1600P200'],[-300]
['H3N'],[0]
['XH2'],[0]
['C10H11N4O8P'],[-2]
['C5H8O14P3'],[-5]
['C10H12N5O10P2'],[-3]
"['C45H56CoN6O12', 'C62H89CoN13O14P']","[0, -5]"
['C6H12O3'],[0]
['C58H85CoN16O14P'],[1]
['C6H11NO3'],[0]
['C14H23N4O9P2S'],[0]
['C2H3NO2'],[0]
['C16H28N2O11'],[0]
['C7H6O4'],[0]
['C3H9N'],[0]
['C4H8O3'],[0]
['C4H7O5P'],[0]
['C15H16O9'],[0]
['C5H10O5P'],[0]
['C42H44CoN4O16'],[0]
['C5H11O7P'],[0]
['C4H8O2'],[0]
['C7H8O'],[0]
[],[1]
['C6H12O2'],[0]
[],[]
"['C3H9O6P', 'C3H5O6P']","[0, -2]"
"['C9H14O12P', 'C9H17O12P']","[0, -3]"
[],[]
"['C7H10O7', 'C7H7O7']","[0, -3]"
['C45H61CoN6O12'],[0]
[],[1]
"['C20H29N3O19P2', 'C20H26N3O19P2']","[0, -3]"
['C20H33O20PR2'],[0]
['C6H11O6PS'],[0]
['C26H42N7O19P3S'],[0]
['C14H27OSR'],[]
['C29H50N7O17P3S'],[]
['C33H58N7O17P3S'],[]
['C29H50N7O18P3S'],[]
['C6H9O2SR'],[]
['C29H48N7O18P3S'],[0]
['C37H64N7O18P3S'],[]
['C8H13OSR'],[]
['C10H17OSR'],[]
['C14H25OSR'],[]
[],[]
[],[]
[],[]
[],[0]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['C3H6NO2R'],[1]
['C19H38O4'],[0]
['C21H40O4'],[0]
['C14H13N2O8'],[-3]
['C6H7O7'],[-1]
['C7H6N3O5'],[-1]
['C14H11N5O8'],[0]
['C14H11N5O8'],[0]
['C6H9O4S'],[-1]
['C6H9O4S'],[-1]
['C27H40N7O19P3S2'],[-4]
['C4H6NO5'],[-1]
['C33H52N7O18P3S'],[-4]
['C31H48N7O18P3S'],[-4]
['C28H44N7O18P3S'],[-4]
['C34H48N7O18P3S'],[-4]
['C35H56N7O18P3S'],[-4]
['C39H64N7O18P3S'],[-4]
['C35H54N7O18P3S'],[-4]
['C37H58N7O18P3S'],[-4]
['C37H58N7O18P3S'],[-4]
['C39H60N7O18P3S'],[-4]
['C31H40N7O18P3S'],[-4]
['C32H42N7O18P3S'],[-4]
['C14H15N2O7'],[-3]
['C27H40N7O18P3S2'],[-4]
['C7H6N3O5'],[-1]
['C5H9NO3'],[0]
['C5H9NO3'],[0]
['C5H9NO3'],"[0, -1]"
['C14H15N2O7'],[-3]
['C5H11NO2'],[0]
['C5H7N3O'],[0]
['C29H42N7O18P3S2'],[-4]
['C8H13O3S'],[-1]
['C29H44N7O18P3S2'],[-4]
['C12H23O3R'],[0]
['C14H27O3R'],[0]
['C14H23O3R'],[0]
['C6H9O4SR'],[0]
"['C5H14N3O', 'C5H13N3O']","[0, 1]"
['ROH'],[0]
['C10H17O3'],[-1]
['C10H17O3'],[-1]
['C29H44N7O19P3S2'],[-4]
['C14H25O3'],[-1]
['C12H21O3'],[-1]
['C16H31O3'],[-1]
['C16H31O3'],[-1]
['C37H62N7O18P3S'],[-4]
['C28H44N7O18P3S'],[-4]
['C6H11O3'],[-1]
['C6H11O3'],[-1]
['C30H48N7O18P3S'],[-4]
['C8H15O3'],[-1]
['C8H15O3'],[-1]
['C12H15O3'],[-1]
['C12H15O3'],[-1]
['C15H21O3'],[-1]
['C14H19O3'],[-1]
['C14H19O3'],[-1]
['C26H40N7O18P3S'],[-4]
['C14H23O3'],[-1]
['C14H23O3'],[-1]
['C14H25O3'],[-1]
['C14H27O3'],[-1]
['Ag'],[1]
['C9H18N2O3'],[0]
['C9H18N2O3'],[0]
['C7H14N2O4'],[0]
['C7H14N2O4'],[0]
['C32H39O32'],[-5]
['C34H41O33'],[-5]
['C16H19N3O4S'],[0]
['C5H10N2O3'],[0]
['C5H10N2O3'],[0]
['C9H18N2O3'],[0]
['C33H32N4O6'],"[0, -2]"
['C9H14N4O3'],[0]
['C24H42O21'],[0]
['C33H48N5O13'],[1]
['C39H68O5'],[0]
['C33H50N7O17P3S'],[-4]
['C31H48N7O17P3S'],[-4]
['C28H44N8O18P3S'],[-3]
['C2H6O2S'],[0]
['C2H6O2S'],[0]
['C6H10N2O2'],[0]
['C27H47N10O15'],[-1]
['C27H47N10O15'],[-1]
['C33H48N5O13Fe'],[4]
['Fe2S2X'],[-1]
['C43H71N5O10Fe'],[5]
['C27H47FeN10O15'],[2]
['C116H202N2O58P2'],[-6]
['C16H20N5O17P2'],[-3]
['C8H13O5N2'],[-1]
['C10H17O5N2'],[-1]
['C26H42N8O17P3S'],[-3]
['C2H6O2'],[0]
['C7H11N2O5'],[-1]
['C11H14N2O3'],[0]
['C6H13N3O2'],[0]
['C4H9NO2S'],[0]
['C37H58N7O17P3S'],[-4]
['C37H60N7O17P3S'],[-4]
['C12H16N6O3'],[0]
['C6H13NO2'],[0]
['C12H24N2O3'],[0]
['C68H124N2O24P2'],[-4]
['C39H60N7O17P3S'],[-4]
['C18H31O2'],[-1]
['XC18H32O1'],[0]
['C148H254N6O91P6'],[-12]
['C6H9O7'],[-1]
['C4H6N2O2'],[0]
['C30H46N7O17P3S'],[-4]
['C9H17O2'],[-1]
['C8H10'],[0]
['C8H10'],[0]
"['C5H12N2O2', 'C5H13N2O2']","[0, 1]"
['Pb'],[2]
['C31H42N7O17P3S'],[-4]
['C38H70O10P1'],[-1]
['C15H21O2'],[-1]
['C11H13O2'],[-1]
['C30H40N7O17P3S'],[-4]
['C33H44N7O17P3S'],[-4]
['C36H50N7O17P3S'],[-4]
['C35H48N7O17P3S'],[-4]
['C35H50N7O17P3S'],[-4]
['C30H37O31'],[-5]
['C30H37O31'],[-5]
['C30H37O31'],[-5]
['C27H47N10O15'],[-1]
['R'],[0]
['C42H36FeN4O16'],[-8]
['C7H5N3O6'],[0]
['C7H5N3O6'],[0]
['C2H5R'],[1]
['C2H5R'],[1]
['C9H11NO3'],[0]
['C9H11NO3'],[0]
['C27H43N3O19P2'],[-2]
['C17H23N3O16P2'],[-2]
['C63H103NO11P2'],[-2]
['C63H103NO11P2'],[-2]
['C26H40N7O18P3S'],[-4]
['C26H41N7O21P4S'],[-4]
['C26H38N7O18P3S'],[-4]
['C26H38N7O17P3S'],[-4]
['C9H18O'],[0]
['C9H18O'],[0]
['C10H20O'],[0]
['C10H20O'],[0]
['C10H20O'],[0]
['C10H20O'],[0]
['C10H20O'],[0]
['C10H20O2'],[0]
['C10H20O2'],[0]
['C11H22O2'],[0]
['C5H7O3'],[-1]
['C26H38N7O18P3S'],[-4]
['C7H12NO5P'],[-2]
['C7H12NO5P'],[-2]
['C8H6O2'],[0]
['C145H252N2O72P3'],[-9]
['C7H8N5O3'],[-1]
['C73H122O21P2'],[-2]
[],[-15]
['C185H324N5O102P2'],[17]
['C83H139N2O25P2'],[2]
['C340H597N12O221P4'],[13]
['C175H294O92P2'],[2]
['C83H139N2O26P2'],[1]
['C83H139N2O26P2'],[1]
['C270H457N2O171P4'],[-7]
['C895H1517N102O521P4'],[63]
['C310H542N12O186P4'],[8]
['C955H1689N75O632P2'],[122]
['C79H130O24P2'],[-2]
['C2455H4189O1707P2'],[97]
['C3370H5992N202O2796P4'],[488]
['C87H147N1O28P2'],[2]
['C310H542N12O186P4'],[13]
['C705H1264N25O507P2'],[97]
['C820H1467N27O596P4'],[88]
['C87H145O30P2'],[1]
['C330H572N2O211P4'],[8]
['C340H582N12O211P4'],[8]
['C770H1317N2O521P4'],[13]
['C89H150N2O30P2'],[2]
['C155H254O82P2'],[2]
['C15H23N3O14P2'],[-2]
['C225H394N10O122P2'],[22]
['C2770H4992N102O2096P4'],[388]
['C870H1542N52O571P4'],[88]
['C3570H6392N202O2396P4'],[488]
['C89H147N2O30P2'],[1]
['C870H1542N52O571P4'],[88]
['C340H597N12O216P4'],[13]
['C290H497N2O181P4'],[-7]
['C89H150N2O30P2'],[2]
['C330H572N22O186P4'],[8]
['C296H523N2O201P4'],[9]
['C730H1389N75O432P2'],[122]
['C820H1467N27O596P4'],[88]
['C1005H1739N25O732P2'],[122]
['C89H147N2O30P2'],[1]
['C82H138N2O26P2'],[2]
['C755H1339N50O482P2'],[97]
['C1070H1892N77O696P4'],[113]
['C82H138N2O26P2'],[2]
['C87H147N1O28P2'],[2]
['C310H542N12O191P4'],[8]
['C175H294O92P2'],[2]
['C620H1067N2O446P4'],[13]
['C79H133O26P2'],[1]
['C1070H1892N77O721P4'],[113]
['C1020H1817N52O671P4'],[113]
['C955H1689N75O607P2'],[122]
['C1970H3392N2O1496P4'],[88]
['C79H130O24P2'],[-2]
['C79H130O24P2'],[-2]
['C2970H5292N202O1996P4'],[388]
['C350H612N17O221P4'],[13]
['C340H597N12O211P4'],[13]
['C3470H6192N202O2496P4'],[488]
['C83H139N2O25P2'],[2]
['C87H145O30P2'],[1]
['C705H1264N25O482P2'],[97]
['C670H1117N2O471P4'],[13]
['C555H914O382P2'],[22]
['C17H25N3O16P2'],[-2]
['C83H139N2O26P2'],[1]
['C1120H1942N27O821P4'],[113]
['C245H419N5O152P2'],[22]
['C18H27N3O15P2'],[-2]
['C223H323N21O132P2'],[-2]
['C83H139N2O26P2'],[1]
['C87H145N4O25P2'],[1]
['C3570H6392N202O2596P4'],[488]
['C83H139N2O25P2'],[1]
['C175H294O92P2'],[2]
['C1020H1817N52O671P4'],[113]
['C79H130O24P2'],[-2]
['C2570H4392N2O1796P4'],[88]
['C330H577N12O231P4'],[13]
['C2655H4789N100O2007P2'],[397]
['C310H542N12O191P4'],[8]
['C970H1742N27O621P4'],[113]
['C195H339N10O97P2'],[17]
['C235H409N15O127P2'],[22]
['C350H612N17O216P4'],[13]
['C81H136N1O27P2'],[1]
['C2770H4992N102O2096P4'],[388]
"['C870H1542N52O546P4charge72', 'C870H1542N52O546P4']",[-9]
['C2570H4392N2O1796P4'],[88]
['C870H1542N52O596P4'],[88]
['C87H146N2O34P2'],[2]
['C87H145N4O25P2'],[1]
['C970H1692N102O546P4'],[88]
['C3455H6189N200O2407P2'],[497]
['C315H537N22O181P4'],[3]
['C2055H3389O1507P2'],[97]
['C3570H6392N202O2396P4'],[488]
['C770H1317N2O521P4'],[13]
['C340H597N12O211P4'],[13]
['C81H136N1O27P2'],[1]
['C655H1114O432P2'],[22]
['C3855H6689N100O2907P2'],[497]
['C2770H4992N102O1996P4'],[388]
['C360H622N7O241P4'],[13]
['C2855H5089N200O1807P2'],[497]
"['C2970H5292N202O1896P4', 'C2970H5292N202O1896P4charge297']",[-9]
['C820H1467N27O571P4'],[88]
['C87H146N2O34P2'],[2]
['C3170H5792N302O1796P4'],[388]
['C2755H5289N300O1707P2'],[497]
['C415H702N37O286P14'],[3]
['C2970H5292N202O1996P4'],[388]
['C290H497N2O181P4'],[-7]
['C290H497N2O181P4'],[-7]
['C83H139N2O25P2'],[1]
['C300H527N7O191P4'],[8]
['C2855H5089N200O2007P2'],[397]
['C855H1514N50O682P2'],[122]
['C2655H4789N100O1907P2'],[397]
['C350H612N17O221P4'],[13]
['C1070H1892N77O721P4'],[113]
['C3370H5892N402O1896P4'],[388]
['C670H1117N2O471P4'],[13]
['C2770H4992N102O2096P4'],[388]
['C5070H8492N702O3896P204'],[288]
['C820H1467N27O596P4'],[88]
['C300H527N7O196P4'],[8]
['C260H447N2O166P4'],[-7]
['C340H597N12O221P4'],[13]
['C31H56O5'],[0]
['C35H68O5'],[0]
['C39H72O5'],[0]
['C3H8O2'],[0]
"['C21H41O7P', 'C21H41O7P1']",[-2]
"['C17H33O7P', 'C17H33O7P1']",[-2]
['C5H9O4'],"[0, -1]"
['C9H14N5O8P'],[-2]
['C19H40NO7P1'],[0]
['C3H5NO3'],[0]
['C15H30O7P1'],[-1]
['C6H9O6'],[-1]
['C50H70O2'],[0]
['C5H9O7P'],[-2]
['S2Fe2'],[2]
['C19H36O7P1'],[-1]
['C7H7O7'],[-3]
['C48H74O4'],[0]
['C14H22N3O17P3'],[-4]
['C14H13O9'],[-3]
['C26H40N7O26P5S'],[-6]
['C9H7O4'],[-1]
['C3H4NO2'],[-1]
['C6H8O10P'],[-3]
['S4Fe3'],[0]
"['C390H613O144N96P1S3', 'C17H31N2O9PRS', 'C6H11O2SR']","[0, -1]"
"['C398H629O144N96P1S3', 'C14H27O2SR', 'C25H47N2O9PRS']","[0, -1]"
['C39H66N7O18P3S'],[-4]
['C33H52N7O18P3S'],[-4]
"['C394H619O144N96P1S3', 'C21H37N2O9PRS', 'C10H17O2SR']","[0, -1]"
"['C25H45N2O9PRS', 'C398H627O144N96P1S3', 'C14H25O2SR']","[0, -1]"
['C29H44N7O18P3S'],[-4]
"['C8H13O2SR', 'C19H33N2O9PRS', 'C392H615O144N96P1S3']","[0, -1]"
['C3H2O7P'],[-3]
['C10H9O10P'],[-4]
"['C3H7NO4S', 'C3H5NO4S']","[0, -2]"
['C4H9NO2'],[0]
['C7H6NO2'],[-1]
['C14H23N3O14P2'],[-2]
['C4H9NO4'],[0]
['C6H9NOS'],[0]
['C9H16N4O6'],[0]
['C6H9O7'],[-1]
['C20H21N7O7'],[-2]
"['C20H24N7O6', 'C20H23N7O6']","[-1, -2]"
['C9H17NO3'],[0]
"['HSR', 'C384H603N96O142P1S3', 'X', 'HX', 'C11H21N2O7PRS']","[0, -1]"
['C15H25N4O8'],[-1]
['C11H16N3O7S'],[-1]
['C2H6NO'],[1]
['C3H8NO'],[1]
"['C13H23N2O8PRS', 'C2H3OX', 'C2H3ORS', 'C2H3OSR', 'C386H605O143N96P1S3']","[0, -1]"
['C4H5O3'],[-1]
['C9H8NO3'],[-1]
['C7H10NO4'],[-1]
['C8H15NO6'],[0]
['C11H17NO11P'],[-3]
"['C4H5O2X', 'C388H607O144N96P1S3', 'C4H5O2SR', 'C4H5O2RS', 'C15H25N2O9PRS']","[0, -1]"
['C5H5N5'],[0]
"['', 'C17H25N5O16P2']",[-2]
['C17H25N5O16P2'],[-2]
['C9H13N4O8P'],[-2]
"['C4H6N4O3', 'C4H5N4O3']",[0]
['C6H11O9P'],[-2]
['C6H11O7'],[-1]
['C19H29N2O12'],[-1]
['C34H52N6O19'],[-2]
['C11H16NO7'],[-1]
['C26H39N5O14'],[-2]
['C7H6NO2'],[-1]
['C10H12N5O10PS'],[-2]
['C5H9O8P'],[-2]
['C22H33FeN4O13'],[0]
['C6H15N4O2'],"[0, 1]"
['C20H20N10O13P2S4Mo'],[-4]
"['C388H607O143N96P1S3', 'C15H25N2O8PRS', 'C4H5OSR']","[0, -1]"
"['C4H7OX', 'C388H609O143N96P1S3', 'C4H7OSR', 'C15H27N2O8PRS']","[0, -1]"
['C20H20N10O13P2S4W'],[-4]
"['C62H88CoN13O14P', 'C62CoH88N13O14P']",[-1]
"['C394H619O143N96P1S3', 'C21H37N2O8PRS']",[-1]
['C44H79N3O15P2'],[-2]
['C9H11O4'],[-1]
['C5H10N2O3S'],[0]
['C5H14NO'],[1]
['C9H7O2'],[-1]
['C6H5O7'],[-3]
"['C6H14N3O3', 'C6H13N3O3']",[0]
['CO2'],[0]
['C35H52N6O13Fe'],[-1]
['C35H52N6O13'],[-4]
['C36H40N4O8'],[-4]
['C28H46N8O18P3S'],[-3]
"['HCN', 'CHN', 'CN']","[0, -1]"
['C9H12N3O13P3'],[-4]
['C33H52N7O17P3S'],[-4]
"['C12H23OX', 'C23H43N2O8PRS', 'C12H23OSR', 'C396H625O143N96P1S3', 'C12H23ORS']","[0, -1]"
['C10H13N5O4'],[0]
['C14H13N6O3'],[-1]
['C2H6S'],[0]
['C2H6OS'],[0]
['C21H24N6O15P2'],[-2]
['C21H33N7O13P2S'],[-2]
['C10H13N2O11P2'],[-3]
['C18H27N3O15P2'],[-2]
['C16H22N2O15P2'],[-2]
['C5H10O4'],[0]
['C5H9O7P'],[-2]
['C2H8NO'],[1]
['C2H5O3S'],[-1]
['C6H12O5'],[0]
['C27H42N9O12'],[-3]
['C30H27FeN3O15'],[3]
['C6H11O9P'],[-2]
['C6H13O9P'],[-2]
['C9H15O5N2'],[-1]
['C5H9NO3'],[0]
['C8H13N2O5S'],[-1]
['C2H5NO2'],[0]
['C3H7O6P'],[-2]
['C7H12O13P2'],"[0, -4]"
['C10H12N5O8P'],[-2]
"['C10H16N3O6S', 'C10H15N3O6S']",[-1]
"['C49FeH56N4O5', 'C49H56FeN4O5']","[0, -2]"
['C6H11N3O4P'],[-1]
"['C19H33N2O11PRS', 'C8H13O4SR']",[-1]
"['C4H4NO4', 'C4H3NO4']","[-2, -1]"
['C6H12O6'],[0]
['C5H9O7P2'],[-3]
"['RS2', 'HS2R']","[0, -1]"
['C8H13O8'],[-1]
['C6H13NO2'],[0]
['C68H126N2O23P2'],[-4]
"['C8H14O2S2', 'C8H13O2S2']","[0, -1]"
['C6H15N2O2'],"[0, 1]"
"['C3H2O3X', 'C3H2O3RS', 'C387H604O145N96P1S3', 'C3H2O3SR', 'C14H22N2O10PRS']","[0, -2, -1]"
"['C24H33N7O19P3S', 'C24H34N7O19P3S']","[0, -5]"
['C6H12O6'],[0]
['C12H22O11'],[0]
"['C20H32NO17P2SR3', 'C5H11NOSR', 'C5H10NOSR', 'C5H11NO2SX']","[1, -2]"
"['CHO2R', 'C1O2X']",[-1]
"['MoO4', 'H2MoO4']",[-2]
"['C10H10N5O8PS2Mo', 'C10H14MoN5O8PS2']",[-2]
['C5H10O5'],[0]
['C8H24N3'],[3]
['C6H4NO2'],[-1]
['C21H25N7O17P3'],"[0, -3]"
['C6H6N2O'],[0]
"['H4N', 'NH4']",[1]
['NO'],[0]
['NO3'],[-1]
['O2'],[0]
['C18H35O2'],[-1]
"['C18H35OSR', 'C402H637O143N96P1S3', 'C29H55N2O8PRS']","[0, -1]"
['C8H15O'],[1]
['C40H65O7P2'],[-3]
['C39H64N7O17P3S'],[-4]
['C5H13N2O2'],[1]
['C27H37N7O20P3S'],[-5]
['C23H31N7O19P3S'],[-5]
['C3H3N2O4'],[-1]
['C31H55O8P1'],[-2]
"['C39H75O8P', 'C39H75O8P1']",[-2]
['C8H8O'],[0]
['C10H11N5O10P2'],"[0, -4]"
['C41H78N1O8P1'],[0]
"['C38H74O10P', 'C38H74O10P1']",[-1]
['C42H82O10P1'],[-1]
['C38H73O13P2'],[-3]
['C29H38N7O17P3S'],[-4]
"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']","[0, -2, -1]"
['C124H219N2O54P3'],[-8]
['C131H230N2O63P4'],[-10]
['C9H7O3'],[-1]
"['C7H11O3SR', 'C7H10O3SR', 'C18H31N2O10PRS']",[-1]
"['C8H13O3SR', 'C19H33N2O10PRS']",[-1]
['C3H5O2'],[-1]
['C3H6O'],[0]
['C24H36N7O17P3S'],[-4]
['C5H11NO7P'],[-1]
['C12H13NO9P'],[-3]
['C15H19N5O14P2'],[-4]
['C15H19N5O20P4'],[-6]
['C30H57N1O10P1'],[-1]
['C8H12N2O5P'],[-1]
['C8H13N2O2'],[1]
['C8H11NO3'],[0]
['C69H113N1O16P2'],[-2]
['C9H17NO6S'],[0]
['C5H9O8P'],"[-2, -1]"
['C5H9O8P'],"[0, -2, -1]"
['C42H39N4O16'],"[-8, -7]"
['C3H6NOSeR'],[1]
"['C18H28NO18P2R3', 'C3H6NO2R', 'C3H7NO2R', 'C3H7NO3X']","[1, -2]"
['C7H9O5'],[-1]
['C11H16N2O7'],[-2]
"['H2SeO3', 'O3Se']",[-2]
"['O3S', 'SO3', 'HSO3']",[-2]
['C9H10NO7'],[-3]
['C9H11NO6'],[-2]
['O2S10Fe4R'],[-4]
"['C398H625O143N96P1S3', 'C25H43N2O8PRS']",[-1]
"['C6H10O7', 'C6H9O7']",[-1]
['C35H56N7O17P3S'],[-4]
['C7H7NO4'],[-2]
['C19H21N7O6'],[-2]
['C12H17N4OS'],[1]
['C12H16N4O4PS'],[-1]
['C9H15N5O4'],[0]
['C12H16N4O7P2S'],"[0, -2]"
['C5H6N2O2'],[0]
"['C398H627O143N96P1S3', 'C25H45N2O8PRS', 'C14H25OSR']","[0, -1]"
"['C27H49N2O8PRS', 'C16H29OSR', 'C400H631O143N96P1S3']","[0, -1]"
"['HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'C15H23O16P2R3']","[0, -2]"
"['HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
"['HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C11H11N2OR', 'C26H33N2O17P2R3', 'C11H12N2OR']","[1, -2]"
"['HS2O3', 'O3S2', 'HO3S2']",[-2]
['O4W1'],[-2]
['C61H99N1O8P1'],[-1]
['C95H152N8O28P2'],[-4]
['C17H25N3O17P2'],[-2]
['C17H25N3O17P2'],[-2]
['C55H89O4P'],[-2]
['C15H22N2O17P2'],[-2]
['C15H19N2O18P2'],[-3]
['C10H11N4O12P2'],[-3]
['C5H10O5'],[0]
['C5H10O5'],[0]
['C10H11N5O6P'],[-1]
['C9H11N3O7P'],[-1]
['C10H11N5O7P'],[-1]
['C3H9N2O2'],[1]
['C6H9O6'],[-1]
['C10H12N5O8P'],[-2]
['C9H7O3'],[-1]
['C8H13N2O5'],[-1]
['C2H3O2'],[-1]
['C10H13N5O4'],[0]
"['C72H100CoN18O17P', 'C72CoH100N18O17P']",[0]
['C3H7NO2'],[0]
['C6H12N2O3'],[0]
['C12H16O7'],[0]
"['C6H7O6', 'C6H8O6']","[0, -1]"
['C4H8N2O3'],[0]
['Ca'],[2]
"['C16H28N2O11', 'C10H16O7N']","[0, 1]"
['Co'],[2]
"['C176H303N2O100P4', 'C170H293N2O96P4']",[-11]
['C176H303N2O103P5'],[-12]
['Cu'],[1]
['CNO'],[-1]
['C10H13N5O3'],[0]
['C10H12N5O6P'],[-2]
['C10H19O2'],[-1]
['C9H12N3O7P'],[-2]
['C8H12NO2'],[1]
['C6H11O9P'],[-2]
"['C10H10NO6Fe', 'C10FeH11NO6']",[2]
['C9H18O6N3'],[-3]
"['CHO2', 'CH1O2']",[-1]
['C4H2O4'],[-2]
['C31H48O5'],[0]
['C6H14O8P'],[-1]
['C6H12O6'],[0]
['C6H11O9P'],[-2]
['C6H8O8'],[-2]
['C6H11O7'],[-1]
['C6H11O7'],[-1]
['C6H13NO8P'],[-1]
['C5H11NO2'],[0]
['C10H12N5O14P3'],[-4]
['H2O2'],[0]
"['H2S', 'H1S', 'HS']","[0, -1]"
['C6H11O2'],[-1]
['C10H12N4O5'],[0]
['C84H148N2O37P2'],[-6]
['C3H5O3'],[-1]
['C3H5O3'],[-1]
['C5H10O5'],[0]
"['C4H6O5', 'C4H4O5']","[0, -2]"
['C4H4O5'],[-2]
['C18H32O16'],[0]
['C6H11O9P'],[-2]
['C9H15O9'],[-1]
"['CH4O1', 'CH4O']",[0]
['C5H11NO3S'],[0]
['C6H14NO2S'],[1]
['Mn'],[2]
['Na'],[1]
"['C11H14N2O8P', 'C11H13N2O8P']",[-1]
['C8H15O2'],[-1]
['C5H3N2O4'],[-1]
"['H1O4P', 'HPO4', 'HO4P']","[0, -2]"
"['C9H15NO5', 'C9H16NO5']",[-1]
['HO3P'],[-2]
['O2S'],[0]
['C2H2O5S'],[-2]
['C4H4O6'],[-2]
['CNS'],[-1]
['C11H12N2O2'],[0]
['C14H27O2'],[-1]
['C22H24N2O8'],[0]
['C8H12NO'],[1]
['C9H11NO3'],[0]
['C15H22N2O17P2'],[-2]
['C5H11NO2'],[0]
['C10H12N4O6'],[0]
['C31H56O5'],[0]
['C35H68O5'],[0]
['C39H72O5'],[0]
['C3H8O2'],[0]
['C17H36NO7P1'],[0]
"['C21H42NO7P1', 'C21H42NO7P']",[0]
['C20H40O9P1'],[-1]
['C24H48O9P1'],[-1]
"['C21H41O7P', 'C21H41O7P1']",[-2]
"['C17H33O7P', 'C17H33O7P1']",[-2]
['C9H10N2O8P'],[-1]
['C19H40NO7P1'],[0]
['C15H30O7P1'],[-1]
['C19H36O7P1'],[-1]
['C8H8O3'],[0]
['C9H12N3O8P'],[-2]
['C9H11N2O9P'],[-2]
['C4H9NO2'],[0]
['C6H9O7'],[-1]
['C15H25N4O8'],[-1]
['C4H5O3'],[-1]
['C8H14NO9P'],[-2]
['C8H15NO6'],[0]
['C5H5N5'],[0]
"['C4H6N4O3', 'C4H5N4O3']",[0]
['C19H29N2O12'],[-1]
['C34H52N6O19'],[-2]
['C22H33FeN4O13'],[0]
['C6H15N4O2'],"[0, 1]"
"['C62H88CoN13O14P', 'C62CoH88N13O14P']",[-1]
['C5H10N2O3S'],[0]
['C5H14NO'],[1]
['C6H5O7'],[-3]
['C73H140O17P2'],[-2]
['C81H156O17P2'],[-2]
['CO2'],[0]
['C35H52N6O13Fe'],[-1]
['C35H52N6O13'],[-4]
"['HCN', 'CHN', 'CN']","[0, -1]"
['C10H13N5O4'],[0]
['C2H6S'],[0]
['C2H6OS'],[0]
['XH2'],[0]
['XH2'],[0]
['C127H198N9O52P2'],[-5]
['C151H234N12O67P2'],[-6]
['C2H8NO'],[1]
['C2H5O3S'],[-1]
['C27H42N9O12'],[-3]
['C30H27FeN3O15'],[3]
['C6H11O9P'],[-2]
['C6H12O6'],[0]
['C2H5NO2'],[0]
['C3H7O6P'],[-2]
['C10H12N5O8P'],[-2]
"['C10H16N3O6S', 'C10H15N3O6S']",[-1]
['C6H12O6'],[0]
['C6H13NO2'],[0]
"['C8H14O2S2', 'C8H13O2S2']","[0, -1]"
['C6H15N2O2'],"[0, 1]"
['C6H12O6'],[0]
['C12H22O11'],[0]
"['MoO4', 'H2MoO4']",[-2]
['C71H107N13O38'],[-4]
['C71H109N13O39'],[-4]
['C74H114N14O40'],[-4]
['C77H119N15O41'],[-4]
['C74H112N14O39'],[-4]
['C6H4NO2'],[-1]
"['H4N', 'NH4']",[1]
['NO'],[0]
['NO3'],[-1]
['C157H255N3O82P2'],[-2]
['C191H310N4O107P2'],[-2]
['O2'],[0]
['C18H35O2'],[-1]
['C5H13N2O2'],[1]
['C31H55O8P1'],[-2]
"['C39H75O8P', 'C39H75O8P1']",[-2]
['C8H8O'],[0]
['C41H78N1O8P1'],[0]
"['C38H74O10P', 'C38H74O10P1']",[-1]
['C42H82O10P1'],[-1]
['C38H73O13P2'],[-3]
"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']","[0, -2, -1]"
['C3H5O2'],[-1]
['C3H6O'],[0]
['C8H13N2O2'],[1]
